,Logistic Regression,KNN,Naive Bayes (Gaussian),SVM,Random Forest,Gradient Boosting (LightGBM)
intents_34,"{'accuracy_score': 0.41, 'precision_score': 0.28, 'recall_score': 0.31, 'f1_score': 0.26}","{'accuracy_score': 0.57, 'precision_score': 0.48, 'recall_score': 0.48, 'f1_score': 0.46}","{'accuracy_score': 0.47, 'precision_score': 0.45, 'recall_score': 0.49, 'f1_score': 0.43}","{'accuracy_score': 0.56, 'precision_score': 0.44, 'recall_score': 0.47, 'f1_score': 0.42}","{'accuracy_score': 0.57, 'precision_score': 0.47, 'recall_score': 0.49, 'f1_score': 0.45}","{'accuracy_score': 0.54, 'precision_score': 0.43, 'recall_score': 0.47, 'f1_score': 0.42}"
intents_35,"{'accuracy_score': 0.42, 'precision_score': 0.28, 'recall_score': 0.3, 'f1_score': 0.25}","{'accuracy_score': 0.57, 'precision_score': 0.51, 'recall_score': 0.49, 'f1_score': 0.48}","{'accuracy_score': 0.48, 'precision_score': 0.45, 'recall_score': 0.49, 'f1_score': 0.42}","{'accuracy_score': 0.56, 'precision_score': 0.45, 'recall_score': 0.49, 'f1_score': 0.43}","{'accuracy_score': 0.56, 'precision_score': 0.48, 'recall_score': 0.49, 'f1_score': 0.46}","{'accuracy_score': 0.54, 'precision_score': 0.45, 'recall_score': 0.47, 'f1_score': 0.43}"
intents_36,"{'accuracy_score': 0.38, 'precision_score': 0.39, 'recall_score': 0.34, 'f1_score': 0.31}","{'accuracy_score': 0.55, 'precision_score': 0.53, 'recall_score': 0.52, 'f1_score': 0.48}","{'accuracy_score': 0.58, 'precision_score': 0.55, 'recall_score': 0.59, 'f1_score': 0.54}","{'accuracy_score': 0.54, 'precision_score': 0.52, 'recall_score': 0.55, 'f1_score': 0.49}","{'accuracy_score': 0.55, 'precision_score': 0.55, 'recall_score': 0.52, 'f1_score': 0.49}","{'accuracy_score': 0.54, 'precision_score': 0.53, 'recall_score': 0.55, 'f1_score': 0.5}"
intents_37,"{'accuracy_score': 0.34, 'precision_score': 0.24, 'recall_score': 0.26, 'f1_score': 0.21}","{'accuracy_score': 0.47, 'precision_score': 0.41, 'recall_score': 0.41, 'f1_score': 0.38}","{'accuracy_score': 0.46, 'precision_score': 0.43, 'recall_score': 0.46, 'f1_score': 0.42}","{'accuracy_score': 0.51, 'precision_score': 0.45, 'recall_score': 0.47, 'f1_score': 0.42}","{'accuracy_score': 0.47, 'precision_score': 0.41, 'recall_score': 0.41, 'f1_score': 0.38}","{'accuracy_score': 0.45, 'precision_score': 0.37, 'recall_score': 0.41, 'f1_score': 0.37}"
intents_38,"{'accuracy_score': 0.38, 'precision_score': 0.26, 'recall_score': 0.29, 'f1_score': 0.24}","{'accuracy_score': 0.5, 'precision_score': 0.44, 'recall_score': 0.45, 'f1_score': 0.42}","{'accuracy_score': 0.44, 'precision_score': 0.45, 'recall_score': 0.46, 'f1_score': 0.42}","{'accuracy_score': 0.51, 'precision_score': 0.43, 'recall_score': 0.47, 'f1_score': 0.41}","{'accuracy_score': 0.46, 'precision_score': 0.38, 'recall_score': 0.41, 'f1_score': 0.37}","{'accuracy_score': 0.46, 'precision_score': 0.4, 'recall_score': 0.43, 'f1_score': 0.38}"
intents_39,"{'accuracy_score': 0.53, 'precision_score': 0.5, 'recall_score': 0.45, 'f1_score': 0.43}","{'accuracy_score': 0.67, 'precision_score': 0.64, 'recall_score': 0.63, 'f1_score': 0.61}","{'accuracy_score': 0.65, 'precision_score': 0.6, 'recall_score': 0.62, 'f1_score': 0.59}","{'accuracy_score': 0.7, 'precision_score': 0.65, 'recall_score': 0.65, 'f1_score': 0.63}","{'accuracy_score': 0.72, 'precision_score': 0.68, 'recall_score': 0.69, 'f1_score': 0.65}","{'accuracy_score': 0.63, 'precision_score': 0.59, 'recall_score': 0.62, 'f1_score': 0.58}"
intents_40,"{'accuracy_score': 0.4, 'precision_score': 0.26, 'recall_score': 0.29, 'f1_score': 0.24}","{'accuracy_score': 0.55, 'precision_score': 0.48, 'recall_score': 0.48, 'f1_score': 0.46}","{'accuracy_score': 0.43, 'precision_score': 0.43, 'recall_score': 0.46, 'f1_score': 0.4}","{'accuracy_score': 0.54, 'precision_score': 0.43, 'recall_score': 0.47, 'f1_score': 0.42}","{'accuracy_score': 0.54, 'precision_score': 0.44, 'recall_score': 0.47, 'f1_score': 0.43}","{'accuracy_score': 0.52, 'precision_score': 0.45, 'recall_score': 0.47, 'f1_score': 0.43}"
intents_41,"{'accuracy_score': 0.33, 'precision_score': 0.24, 'recall_score': 0.23, 'f1_score': 0.2}","{'accuracy_score': 0.48, 'precision_score': 0.44, 'recall_score': 0.45, 'f1_score': 0.42}","{'accuracy_score': 0.46, 'precision_score': 0.47, 'recall_score': 0.49, 'f1_score': 0.44}","{'accuracy_score': 0.48, 'precision_score': 0.4, 'recall_score': 0.45, 'f1_score': 0.39}","{'accuracy_score': 0.5, 'precision_score': 0.44, 'recall_score': 0.48, 'f1_score': 0.43}","{'accuracy_score': 0.46, 'precision_score': 0.41, 'recall_score': 0.44, 'f1_score': 0.4}"
intents_42,"{'accuracy_score': 0.64, 'precision_score': 0.12, 'recall_score': 0.08, 'f1_score': 0.1}","{'accuracy_score': 0.66, 'precision_score': 0.37, 'recall_score': 0.34, 'f1_score': 0.34}","{'accuracy_score': 0.7, 'precision_score': 0.28, 'recall_score': 0.29, 'f1_score': 0.28}","{'accuracy_score': 0.66, 'precision_score': 0.15, 'recall_score': 0.15, 'f1_score': 0.13}","{'accuracy_score': 0.75, 'precision_score': 0.27, 'recall_score': 0.36, 'f1_score': 0.3}","{'accuracy_score': 0.79, 'precision_score': 0.37, 'recall_score': 0.44, 'f1_score': 0.39}"
intents_43,"{'accuracy_score': 0.21, 'precision_score': 0.17, 'recall_score': 0.07, 'f1_score': 0.09}","{'accuracy_score': 0.32, 'precision_score': 0.19, 'recall_score': 0.17, 'f1_score': 0.18}","{'accuracy_score': 0.18, 'precision_score': 0.11, 'recall_score': 0.06, 'f1_score': 0.07}","{'accuracy_score': 0.24, 'precision_score': 0.2, 'recall_score': 0.09, 'f1_score': 0.11}","{'accuracy_score': 0.24, 'precision_score': 0.18, 'recall_score': 0.12, 'f1_score': 0.14}","{'accuracy_score': 0.26, 'precision_score': 0.15, 'recall_score': 0.11, 'f1_score': 0.12}"
